iter	MAE
0	1.78635845
1	1.778499441
2	1.770890173
3	1.763531273
4	1.756136514
5	1.750789907
6	1.743587224
7	1.736530278
8	1.729559743
9	1.722799619
10	1.716227611
11	1.709789931
12	1.703435115
13	1.697177377
14	1.691093182
15	1.685107661
16	1.679354206
17	1.6736833
18	1.668103233
19	1.662624595
20	1.657306576
21	1.652031121
22	1.646809805
23	1.641650701
24	1.636709877
25	1.631775609
26	1.62695813
27	1.622302773
28	1.617650146
29	1.61309721
30	1.608658644
31	1.604323653
32	1.600046573
33	1.595866119
34	1.591816434
35	1.587862981
36	1.583885317
37	1.579966862
38	1.576160918
39	1.572410726
40	1.568780424
41	1.565292574
42	1.561780158
43	1.558412342
44	1.555080046
45	1.551857653
46	1.548741194
47	1.545712887
48	1.54268061
49	1.53969963
50	1.536734992
51	1.534000533
52	1.531166954
53	1.528478038
54	1.525809374
55	1.523259294
56	1.520945589
57	1.518424776
58	1.516000584
59	1.513683411
60	1.511356645
61	1.509174311
62	1.507007149
63	1.504831754
64	1.502732123
65	1.500755603
66	1.498831358
67	1.49690196
68	1.495021044
69	1.49321747
70	1.491417547
71	1.489692343
72	1.488050133
73	1.486425808
74	1.484866629
75	1.483349148
76	1.481883929
77	1.480483063
78	1.479125616
79	1.477782178
80	1.47643388
81	1.475242894
82	1.474029166
83	1.472833216
84	1.471654372
85	1.470535612
86	1.46943072
87	1.468407938
88	1.467425988
89	1.466390292
90	1.465397061
91	1.464423985
92	1.463512886
93	1.462653549
94	1.46173549
95	1.460856821
96	1.460102877
97	1.45935222
98	1.458607914
99	1.457837338
100	1.457096695
101	1.456411972
102	1.455730821
103	1.455069398
104	1.454439483
105	1.453839394
106	1.453222465
107	1.452658116
108	1.452106892
109	1.451603365
110	1.451052758
111	1.450526662
112	1.450033219
113	1.449557043
114	1.449107934
115	1.44867822
116	1.448252869
117	1.44782417
118	1.447412014
119	1.446991935
120	1.446590937
121	1.446212144
122	1.445866307
123	1.445543254
124	1.445222504
125	1.444939391
126	1.444632992
127	1.444360065
128	1.444103754
129	1.443788907
130	1.443474415
131	1.443226335
132	1.442985104
133	1.442752499
134	1.442518899
135	1.442315702
136	1.442104486
137	1.441901788
138	1.441709547
139	1.441532389
140	1.441340722
141	1.441175787
142	1.441011414
143	1.440822937
144	1.440664896
145	1.440517763
146	1.440365637
147	1.440193207
148	1.440066495
149	1.439912164
150	1.439797208
151	1.439694438
152	1.439561613
153	1.439439789
154	1.439331353
155	1.439231832
156	1.439130174
157	1.439032894
158	1.438935701
159	1.438839367
160	1.438736795
161	1.438656981
162	1.438579834
163	1.438489457
164	1.438403637
165	1.438326988
166	1.43824714
167	1.438190929
168	1.438129029
169	1.438048962
170	1.437983265
171	1.437934626
172	1.437880919
173	1.437825704
174	1.437773961
175	1.437731455
176	1.437678379
177	1.437631942
178	1.437579612
179	1.437531338
180	1.43747651
181	1.437435419
182	1.437382438
183	1.43734043
184	1.437296587
185	1.43722672
186	1.437190356
187	1.437156524
188	1.437112967
189	1.43706984
190	1.437034052
191	1.436995508
192	1.436964321
193	1.436919392
194	1.436892966
195	1.436865301
196	1.43682722
197	1.436793763
198	1.436766185
199	1.436738711
200	1.436708337
201	1.436680773
202	1.436654545
203	1.436633554
204	1.436612011
205	1.436590653
206	1.436572163
207	1.436559046
208	1.436528708
209	1.436510711
210	1.436490859
211	1.436468162
212	1.436446794
213	1.436434927
214	1.436410856
215	1.436389291
216	1.436368227
217	1.436349309
218	1.436344073
219	1.436333638
220	1.436324285
221	1.43630884
222	1.43630657
223	1.436278864
224	1.436266075
225	1.436239882
226	1.43622855
227	1.436200771
228	1.43618862
229	1.436172737
230	1.436157889
231	1.436151139
232	1.436144967
233	1.436129495
234	1.436108436
235	1.436098149
236	1.436079118
237	1.436063856
238	1.436038029
239	1.436029007
240	1.436021343
241	1.436006232
242	1.436002106
243	1.435996866
244	1.435973831
245	1.435953858
246	1.435919775
247	1.435911672
248	1.435905742
249	1.435889751
250	1.435875831
251	1.435870466
252	1.43586265
253	1.435859973
254	1.435852331
255	1.435838903
256	1.435836988
257	1.435822342
258	1.435809083
259	1.435801013
260	1.435797551
261	1.435792173
262	1.435775508
263	1.435769132
264	1.435757314
265	1.43574937
266	1.435734846
267	1.435723515
268	1.435715851
269	1.43571251
270	1.435706721
271	1.435688174
272	1.435682024
273	1.435680326
274	1.435674856
275	1.435669331
276	1.435664765
277	1.435662341
278	1.435651791
279	1.435650592
280	1.435636515
281	1.4356341
282	1.435628073
283	1.435624997
284	1.435619606
285	1.435616696
286	1.435611195
287	1.435598584
288	1.435595296
289	1.435590973
290	1.435576048
291	1.435573328
292	1.43557113
293	1.435564403
294	1.435557016
295	1.435552016
296	1.435545493
297	1.435531603
298	1.435528113
299	1.43552482
300	1.435521071
301	1.435510498
302	1.435507073
303	1.435500089
304	1.435498142
305	1.435488815
306	1.435486763
307	1.435480791
308	1.435475905
309	1.43547338
310	1.43546762
311	1.435454033
312	1.435450999
313	1.435450326
314	1.435447062
315	1.435440757
316	1.435435123
317	1.435431088
