iter	Passed	Remaining
0	197	197608
1	382	190920
2	572	190099
3	760	189354
4	972	193575
5	1104	182947
6	1296	183897
7	1484	184088
8	1680	185001
9	1873	185460
10	2080	187053
11	2285	188135
12	2513	190848
13	2704	190501
14	2889	189753
15	3075	189173
16	3257	188374
17	3443	187865
18	3628	187342
19	3850	188683
20	4050	188809
21	4303	191291
22	4513	191734
23	4700	191160
24	4887	190622
25	5075	190136
26	5260	189585
27	5446	189079
28	5629	188482
29	5849	189142
30	6034	188616
31	6218	188114
32	6438	188666
33	6624	188201
34	6813	187849
35	7139	191177
36	7559	196759
37	7762	196509
38	7951	195933
39	8146	195510
40	8334	194943
41	8557	195188
42	8746	194654
43	8933	194106
44	9187	194984
45	9436	195696
46	9655	195787
47	9875	195858
48	10062	195290
49	10257	194894
50	10450	194467
51	10668	194502
52	10865	194148
53	11048	193557
54	11235	193049
55	11420	192520
56	11611	192097
57	11803	191710
58	12255	195457
59	12486	195622
60	12984	199871
61	13172	199279
62	13357	198662
63	13544	198086
64	13744	197713
65	13938	197244
66	14146	196992
67	14329	196402
68	14616	197217
69	14847	197262
70	15090	197445
71	15299	197195
72	15525	197154
73	15727	196810
74	15939	196584
75	16124	196043
76	16312	195543
77	16507	195125
78	16695	194638
79	16889	194226
80	17113	194165
81	17297	193653
82	17485	193188
83	17669	192683
84	17904	192734
85	18087	192227
86	18275	191790
87	18461	191325
88	18650	190903
89	18838	190474
90	19028	190077
91	19265	190137
92	19564	190809
93	19781	190658
94	19972	190263
95	20156	189807
96	20364	189583
97	20560	189238
98	20761	188952
99	20979	188816
100	21163	188377
101	21385	188277
102	21574	187884
103	21755	187432
104	21957	187163
105	22142	186751
106	22335	186404
107	22516	185971
108	22698	185548
109	22943	185635
110	23126	185218
111	23315	184859
112	23537	184760
113	23720	184355
114	23911	184015
115	24103	183683
116	24291	183324
117	24486	183024
118	24695	182828
119	24886	182502
120	25081	182202
121	25266	181836
122	25475	181641
123	25677	181402
124	25904	181330
125	26099	181038
126	26319	180923
127	26516	180642
128	26699	180272
129	26888	179949
130	27080	179638
131	27266	179297
132	27452	178959
133	27675	178856
134	27868	178564
135	28096	178495
136	28280	178145
137	28469	177829
138	28654	177490
139	28839	177156
140	29030	176861
141	29214	176524
142	29400	176196
143	29643	176214
144	29940	176547
145	30170	176477
146	30356	176151
147	30541	175818
148	30725	175486
149	30910	175162
150	31100	174865
151	31299	174616
152	31521	174499
153	31719	174249
154	31953	174198
155	32145	173913
156	32327	173578
157	32511	173255
158	32692	172920
159	32873	172583
160	33109	172537
161	33294	172225
162	33485	171944
163	33671	171641
164	33856	171334
165	34083	171239
166	34268	170933
167	34455	170634
168	34641	170336
169	34855	170177
170	35043	169888
171	35237	169630
172	35422	169329
173	35607	169035
174	35794	168744
175	35996	168530
176	36222	168422
177	36405	168118
178	36593	167837
179	36778	167544
180	36993	167391
181	37212	167250
182	37426	167090
183	37607	166781
184	37788	166475
185	37971	166177
186	38254	166317
187	38451	166078
188	38633	165776
189	38821	165503
190	39006	165216
191	39199	164965
192	39251	164122
193	39440	163863
194	39627	163590
195	39871	163554
196	40132	163587
197	40364	163497
198	40550	163222
199	40735	162940
200	40923	162676
201	41112	162414
202	41311	162194
203	41495	161914
204	41684	161654
205	41873	161394
206	42061	161135
207	42256	160900
208	42507	160877
209	42690	160596
210	42897	160408
211	43111	160246
212	43390	160321
213	43581	160069
214	43772	159819
215	43958	159552
216	44148	159302
217	44339	159054
218	44551	158879
219	44754	158676
220	44971	158518
221	45159	158262
222	45353	158025
223	45539	157762
224	45725	157498
225	45927	157291
226	46119	157048
227	46311	156810
228	46496	156545
229	46720	156412
230	46915	156180
231	47107	155941
232	47297	155695
233	47478	155421
234	47658	155144
235	47842	154880
236	48066	154745
237	48275	154562
238	48535	154541
239	48746	154362
240	48956	154183
241	49143	153929
242	49334	153687
243	49518	153427
244	49704	153170
245	49890	152915
246	50137	152848
247	50391	152799
248	50579	152550
249	50764	152292
250	50984	152141
251	51191	151949
252	51381	151706
253	51571	151466
254	51754	151205
255	51943	150960
256	52146	150757
257	52337	150520
258	52518	150254
259	52699	149989
260	52884	149738
261	53113	149609
262	53297	149353
263	53561	149322
264	53757	149102
265	53962	148905
266	54166	148704
267	54356	148467
268	54543	148221
269	54731	147978
270	54914	147721
271	55166	147650
272	55353	147406
273	55542	147167
274	55728	146919
275	55924	146701
276	56112	146460
277	56297	146211
278	56496	146000
279	56684	145759
280	56868	145510
281	57051	145257
282	57283	145131
283	57494	144951
284	57679	144703
285	57860	144449
286	58053	144223
287	58240	143984
288	58436	143765
289	58661	143619
290	58845	143371
291	59061	143204
292	59278	143037
293	59518	142926
294	59713	142704
295	59896	142456
