iter	MAE
0	1.779089362
1	1.768540658
2	1.758869196
3	1.749780702
4	1.7403743
5	1.730337792
6	1.720468376
7	1.711028355
8	1.703046885
9	1.694540246
10	1.686104365
11	1.677948807
12	1.670054337
13	1.662154635
14	1.654302652
15	1.646995396
16	1.639783797
17	1.633220436
18	1.626303816
19	1.619371471
20	1.614870335
21	1.608485923
22	1.602663007
23	1.596363169
24	1.590988758
25	1.585842896
26	1.580357853
27	1.575062472
28	1.569453398
29	1.56408556
30	1.560477866
31	1.556126469
32	1.551245856
33	1.546860395
34	1.542396511
35	1.538041218
36	1.534036323
37	1.530004577
38	1.526204832
39	1.522618951
40	1.518813988
41	1.515607998
42	1.512127747
43	1.509559754
44	1.506859699
45	1.504094704
46	1.501230094
47	1.498172678
48	1.495651654
49	1.492831451
50	1.490262245
51	1.48820719
52	1.485778964
53	1.48312505
54	1.481046424
55	1.480094582
56	1.478081013
57	1.475931285
58	1.473958816
59	1.472274502
60	1.470479316
61	1.469921682
62	1.468088306
63	1.466776831
64	1.465271572
65	1.464406316
66	1.462978837
67	1.461587489
68	1.460634106
69	1.459306877
70	1.458024874
71	1.456705863
72	1.455697886
73	1.455356767
74	1.454078436
75	1.452954233
76	1.452102144
77	1.451093696
78	1.450082594
79	1.449223473
80	1.448347515
81	1.4476138
82	1.446701646
83	1.446073734
84	1.445713678
85	1.445298951
86	1.444893886
87	1.444100693
88	1.443566948
89	1.443134904
90	1.442857368
91	1.442173027
92	1.441899245
93	1.441564948
94	1.441238611
95	1.440896043
96	1.440450659
97	1.440114776
98	1.439727715
99	1.439574624
100	1.439087486
101	1.438841871
102	1.438626417
103	1.438514304
104	1.438229687
105	1.437934564
106	1.437610996
107	1.43748428
108	1.437376822
109	1.437235454
110	1.436955643
111	1.436884924
112	1.436433926
113	1.436308693
114	1.436122014
115	1.43592922
116	1.435646365
117	1.435437141
118	1.435238119
119	1.435166919
120	1.43504939
121	1.434955242
122	1.434813513
123	1.434688813
124	1.434575952
125	1.434560069
126	1.434514864
127	1.434502691
128	1.434399147
129	1.434306448
130	1.43409841
131	1.433998183
132	1.433876583
133	1.433807239
134	1.433779231
135	1.433667919
136	1.433592349
137	1.433422198
138	1.433333767
139	1.433047554
