iter	Passed	Remaining
0	91	72782
1	151	60617
2	249	66400
3	325	64686
4	402	64071
5	465	61575
6	546	61866
7	629	62288
8	697	61274
9	752	59427
10	799	57344
11	831	54587
12	860	52115
13	891	50048
14	918	48056
15	948	46483
16	977	44999
17	1005	43703
18	1035	42572
19	1066	41576
20	1096	40688
21	1126	39846
22	1153	38971
23	1182	38249
24	1220	37842
25	1267	37732
26	1340	38385
27	1375	37928
28	1416	37647
29	1533	39349
30	1630	40444
31	1705	40929
32	1810	42091
33	1950	43939
34	1993	43576
35	2042	43344
36	2121	43744
37	2204	44208
38	2289	44665
39	2401	45620
40	2492	46148
41	2583	46627
42	2651	46687
43	2702	46435
44	2732	45846
45	2767	45361
46	2834	45404
47	2903	45491
48	2980	45685
49	3044	45670
50	3105	45607
51	3172	45639
52	3273	46136
53	3341	46166
54	3427	46420
55	3486	46326
56	3561	46425
57	3647	46665
58	3779	47469
59	3955	48786
60	4096	49626
61	4162	49543
62	4216	49327
63	4286	49291
64	4400	49759
65	4486	49891
66	4551	49798
67	4581	49316
68	4615	48898
69	4678	48787
70	4747	48749
71	4880	49347
72	4972	49520
73	5026	49314
74	5142	49711
75	5180	49347
76	5211	48934
77	5247	48575
78	5345	48784
79	5413	48719
80	5485	48690
81	5555	48640
82	5625	48596
83	5692	48522
84	5787	48686
85	5882	48840
86	5968	48911
87	6070	49115
88	6147	49107
89	6214	49028
90	6292	49025
91	6363	48967
92	6440	48961
93	6518	48957
94	6592	48922
95	6659	48833
96	6731	48786
97	6840	48996
98	6906	48903
99	6976	48835
100	7052	48806
101	7134	48819
102	7203	48748
103	7253	48541
104	7335	48551
105	7385	48354
106	7416	48031
107	7502	48071
108	7603	48199
109	7698	48291
110	7795	48388
111	7910	48595
112	8051	48947
113	8114	48826
114	8162	48623
115	8232	48541
116	8324	48597
117	8496	49108
118	8663	49575
119	8755	49612
120	8837	49594
121	8937	49666
122	9081	49983
123	9213	50228
124	9328	50374
125	9442	50510
126	9525	50475
127	9632	50568
128	9775	50847
129	9970	51387
130	10097	51567
131	10246	51852
132	10404	52177
133	10472	52047
134	10524	51845
135	10639	51946
136	10706	51814
137	10782	51726
138	10898	51824
139	11008	51895
140	11123	51990
141	11249	52129
142	11316	51992
143	11418	52018
144	11544	52150
145	11628	52087
146	11681	51892
147	11731	51681
