iter	MAE
0	1.775644028
1	1.761732395
2	1.747326342
3	1.731335542
4	1.717192566
5	1.702652353
6	1.686638882
7	1.672289621
8	1.657263889
9	1.643739577
10	1.629298123
11	1.618535244
12	1.605696709
13	1.593722594
14	1.581761613
15	1.571606216
16	1.559434977
17	1.549345101
18	1.540267676
19	1.531661739
20	1.520901245
21	1.512772394
22	1.502699642
23	1.49472242
24	1.48659642
25	1.479271921
26	1.471344881
27	1.463435051
28	1.456029813
29	1.449289336
30	1.443074418
31	1.436629044
32	1.430032919
33	1.422560652
34	1.416747379
35	1.411264712
36	1.405016863
37	1.397875347
38	1.393299485
39	1.388095689
40	1.383027545
41	1.378977242
42	1.374100901
43	1.36973038
44	1.365452597
45	1.359969701
46	1.356343695
47	1.351076963
48	1.347282615
49	1.344522061
50	1.341400711
51	1.338733971
52	1.335641698
53	1.332933342
54	1.329855248
55	1.326601516
56	1.323642388
57	1.321162293
58	1.318705591
59	1.316524707
60	1.314639464
61	1.311851961
62	1.30942926
63	1.307575649
64	1.306069206
65	1.303820386
66	1.301998775
67	1.301188458
68	1.299755317
69	1.2976127
70	1.296103502
71	1.294436395
72	1.293137574
73	1.291978877
74	1.290440923
75	1.289187282
76	1.287917158
77	1.286463127
78	1.285601726
79	1.284327647
80	1.283427907
81	1.282614409
82	1.281582242
83	1.280015539
84	1.279017659
85	1.278360128
86	1.277269087
87	1.276500049
88	1.275602246
89	1.27440601
90	1.273399346
91	1.272536104
92	1.27206499
93	1.270949697
94	1.269504605
95	1.268278947
96	1.267157541
97	1.266545381
98	1.265698438
99	1.265076057
100	1.264336063
101	1.263824693
102	1.263162254
103	1.262705808
104	1.261820228
105	1.261566472
106	1.260434549
107	1.26033777
108	1.259909751
109	1.258652097
110	1.257732049
111	1.257003637
112	1.256486607
113	1.256027958
114	1.255885287
115	1.255430195
116	1.255364901
117	1.255150574
118	1.254626148
119	1.254047556
120	1.254031765
121	1.253320017
122	1.253288407
123	1.253167565
124	1.252788887
125	1.252067954
126	1.251497679
127	1.25124529
128	1.250859592
129	1.250832639
130	1.250048164
131	1.249771541
132	1.249755486
133	1.249373984
134	1.24898085
135	1.248875239
136	1.248331867
137	1.247782302
138	1.247159771
139	1.247147714
140	1.246661419
141	1.246640945
142	1.246206761
143	1.246193248
144	1.246191365
145	1.245379338
146	1.244872433
147	1.244173356
148	1.24385884
149	1.243841325
150	1.243753297
151	1.243398209
152	1.243385691
153	1.24275289
154	1.242259318
155	1.24211234
156	1.24200319
157	1.241992346
158	1.241942053
159	1.241931082
160	1.241917947
161	1.24181843
162	1.241793116
163	1.241302426
164	1.241297494
165	1.241179397
166	1.241178204
