iter	Passed	Remaining
0	57	57611
1	115	57505
2	186	61994
3	267	66557
4	319	63608
5	373	61794
6	425	60398
7	479	59398
8	555	61187
9	626	62014
10	682	61395
11	738	60821
12	808	61360
13	922	64950
14	1071	70332
15	1161	71430
16	1247	72113
17	1356	73999
18	1483	76605
19	1586	77728
20	1686	78629
21	1833	81522
22	1964	83466
23	2074	84356
24	2243	87504
25	2413	90426
26	2501	90158
27	2601	90310
28	2708	90695
29	2814	91003
30	2889	90307
31	3006	90933
32	3175	93040
33	3285	93349
34	3530	97351
35	3729	99878
36	3842	100016
37	3942	99802
38	4029	99295
39	4174	100198
40	4270	99896
41	4459	101711
42	4610	102611
43	4760	103431
44	4826	102429
45	4939	102446
46	5045	102306
47	5135	101849
48	5213	101180
49	5322	101132
50	5420	100861
51	5506	100379
52	5593	99944
53	5716	100143
54	5816	99942
55	5917	99745
56	6101	100947
57	6204	100765
58	6324	100864
59	6438	100875
60	6521	100392
61	6632	100341
62	6719	99942
63	6814	99659
64	6905	99332
65	7013	99245
66	7097	98839
67	7162	98169
68	7247	97793
69	7324	97316
70	7416	97039
71	7523	96964
72	7667	97368
73	7737	96825
74	7824	96498
75	7916	96243
76	8034	96315
77	8175	96639
78	8291	96668
79	8451	97188
80	8553	97050
81	8623	96537
82	8678	95880
83	8747	95390
84	8827	95021
85	8930	94915
86	9033	94794
87	9088	94186
88	9143	93596
89	9201	93035
90	9258	92487
91	9320	91987
92	9368	91365
93	9436	90951
94	9498	90490
95	9559	90021
96	9614	89502
97	9665	88965
98	9722	88480
99	9769	87927
100	9820	87416
101	9875	86940
102	9930	86478
103	9984	86017
104	10043	85610
105	10093	85126
106	10163	84820
107	10207	84309
108	10263	83899
109	10319	83492
110	10378	83120
111	10433	82724
112	10503	82447
113	10555	82032
114	10618	81712
115	10670	81319
116	10718	80891
117	10763	80455
118	10817	80084
119	10881	79795
120	10935	79441
121	10988	79080
122	11037	78698
123	11113	78508
124	11183	78281
125	11244	78000
126	11303	77700
127	11358	77382
128	11413	77065
129	11453	76653
130	11519	76416
131	11569	76076
132	11621	75760
133	11677	75467
134	11735	75194
135	11778	74827
136	11840	74588
137	11894	74295
138	11957	74065
139	12004	73741
140	12068	73525
141	12113	73195
142	12180	73000
143	12231	72711
144	12279	72408
145	12333	72140
146	12396	71933
147	12464	71753
148	12516	71484
149	12579	71281
150	12636	71046
151	12693	70819
152	12742	70539
153	12810	70371
154	12868	70155
155	12925	69931
156	12989	69745
157	13042	69505
158	13093	69257
159	13137	68970
160	13194	68760
161	13241	68495
162	13288	68236
163	13351	68060
164	13397	67799
165	13509	67872
166	13615	67916
167	13661	67654
168	13714	67435
169	13773	67249
170	13840	67096
171	13886	66846
172	13947	66674
173	13987	66399
174	14094	66444
175	14142	66214
176	14206	66054
177	14259	65850
178	14333	65739
179	14384	65528
180	14443	65355
181	14493	65139
182	14582	65104
183	14637	64913
184	14724	64867
185	14810	64817
186	14911	64830
187	14968	64650
188	15016	64435
189	15069	64244
190	15128	64076
191	15178	63877
192	15238	63718
193	15287	63516
194	15332	63293
195	15383	63105
196	15430	62895
197	15474	62681
198	15528	62505
199	15584	62337
200	15646	62197
201	15691	61987
202	15738	61792
203	15784	61590
204	15830	61392
205	15876	61194
206	15930	61030
207	16007	60952
208	16067	60811
209	16187	60896
210	16249	60761
211	16293	60563
212	16351	60415
213	16395	60217
214	16447	60051
215	16504	59904
216	16566	59778
217	16618	59613
218	16684	59500
219	16741	59355
220	16790	59183
221	16842	59025
222	16890	58851
223	16942	58694
224	16994	58538
225	17036	58346
226	17097	58223
227	17136	58024
228	17179	57839
229	17239	57715
230	17281	57530
231	17351	57438
232	17399	57276
233	17451	57126
234	17507	56992
235	17549	56812
236	17594	56644
237	17643	56490
238	17687	56317
239	17735	56161
240	17790	56029
241	17837	55872
242	17905	55778
243	17949	55615
244	18009	55499
245	18058	55349
246	18231	55579
247	18437	55908
248	18577	56031
249	18655	55965
250	18704	55815
251	18756	55672
252	18818	55563
253	18857	55385
254	18901	55221
255	18953	55083
256	19007	54951
257	19053	54797
258	19105	54662
259	19242	54766
260	19415	54974
261	19585	55167
262	19669	55118
263	19708	54944
264	19755	54794
265	19806	54653
266	19860	54523
267	19925	54422
268	19964	54253
269	20013	54109
270	20084	54028
271	20135	53890
272	20183	53749
273	20228	53598
274	20291	53496
275	20333	53338
276	20381	53198
277	20427	53051
278	20466	52890
279	20515	52753
280	20556	52598
281	20603	52459
282	20662	52350
283	20706	52204
284	20751	52061
285	20803	51935
286	20844	51784
287	20893	51654
288	20947	51536
289	20995	51402
290	21051	51290
291	21098	51156
292	21145	51023
293	21217	50949
294	21285	50868
295	21327	50725
296	21372	50589
297	21417	50452
298	21460	50313
299	21503	50174
300	21540	50022
301	21585	49889
302	21634	49766
303	21685	49647
304	21727	49509
305	21770	49373
306	21811	49236
307	21853	49099
308	21903	48982
309	21947	48851
310	21988	48713
311	22039	48600
312	22090	48486
313	22146	48383
314	22206	48289
315	22251	48165
316	22303	48054
317	22350	47933
318	22406	47833
319	22459	47725
320	22508	47611
321	22550	47481
322	22591	47351
323	22637	47230
324	22685	47116
325	22732	47000
326	22845	47018
327	22898	46913
328	22952	46811
329	23002	46701
330	23051	46591
331	23099	46476
332	23146	46363
333	23185	46232
334	23223	46099
335	23264	45974
336	23320	45880
337	23375	45783
338	23423	45672
339	23475	45570
340	23522	45458
341	23572	45353
342	23663	45325
343	23722	45237
344	23773	45134
345	23826	45036
346	23872	44924
347	23922	44820
